city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Lynchburg,Lynchburg,VA,Virginia,51680,Lynchburg,37.4003,-79.1909,128849,624.1,shape,FALSE,TRUE,America/New_York,2,24515 24504 24502 24503 24501 24505 24506 24513 24514,1840003855
Santa Clara,Santa Clara,CA,California,6085,Santa Clara,37.3646,-121.968,128058,2705.3,shape,FALSE,TRUE,America/Los_Angeles,2,95054 95050 95051 95053 95052 95055 95056,1840021571
Norman,Norman,OK,Oklahoma,40027,Cleveland,35.2335,-97.3471,127701,276,shape,FALSE,TRUE,America/Chicago,2,73019 73026 73072 73070 73071 74857 73069 73068,1840020451
Greenville,Greenville,NC,North Carolina,37147,Pitt,35.5943,-77.376,127574,906.4,shape,FALSE,TRUE,America/New_York,2,27834 27858 28590 27833 27835 27836,1840013407
Simi Valley,Simi Valley,CA,California,6111,Ventura,34.2663,-118.749,127568,1172.4,shape,FALSE,TRUE,America/Los_Angeles,2,93063 93065 93062 93094 93099,1840021843
Fort Smith,Fort Smith,AR,Arkansas,5131,Sebastian,35.3495,-94.3695,126452,537.3,shape,FALSE,TRUE,America/Chicago,2,72908 72901 72904 72923 72916 72903 72906 72913 72914 72917 72918 72919,1840013456
Abilene,Abilene,TX,Texas,48441,Taylor,32.4543,-99.7384,126356,457.4,shape,FALSE,TRUE,America/Chicago,2,79607 79605 79699 79603 79602 79601 79606 79604 79608 79697 79698,1840019476
Arecibo,Arecibo,PR,Puerto Rico,72013,Arecibo,18.4491,-66.7387,125727,1007.8,shape,FALSE,FALSE,America/Puerto_Rico,2,00612 00613 00614,1630023566
Lewisville,Lewisville,TX,Texas,48121,Denton,33.0454,-96.9815,125028,1187.4,shape,FALSE,TRUE,America/Chicago,2,75067 75065 75056 75057 75077 75029,1840020639
Pearland,Pearland,TX,Texas,48039,Brazoria,29.5581,-95.3218,124478,987.1,shape,FALSE,TRUE,America/Chicago,2,77047 77089 77584 77581 77588,1840020979
Lehigh Acres,Lehigh Acres,FL,Florida,12071,Lee,26.612,-81.6388,124440,518.3,shape,FALSE,FALSE,America/New_York,2,33936 33973 33972 33971 33976 33974 33970,1840014220
Kenosha,Kenosha,WI,Wisconsin,55059,Kenosha,42.5865,-87.8773,124297,1341.2,shape,FALSE,TRUE,America/Chicago,2,53144 53140 53142 53143 53141,1840003160
Seaside,Seaside,CA,California,6053,Monterey,36.6224,-121.8199,123421,1397.2,shape,FALSE,TRUE,America/Los_Angeles,2,93955,1840021634
Burlington,Burlington,VT,Vermont,50007,Chittenden,44.4876,-73.2316,123307,1673.1,shape,FALSE,TRUE,America/New_York,2,05405 05401 05408 05406,1840002310
Arvada,Arvada,CO,Colorado,8059,Jefferson,39.832,-105.151,123066,1219,shape,FALSE,TRUE,America/Denver,2,80005 80004 80007 80003 80002 80403 80001 80006,1840018788
Waldorf,Waldorf,MD,Maryland,24017,Charles,38.6085,-76.9194,122310,863.7,shape,FALSE,FALSE,America/New_York,2,20601 20603 20602 20675 20695 20604,1840006175
Independence,Independence,MO,Missouri,29095,Jackson,39.0871,-94.3501,122218,605.2,shape,FALSE,TRUE,America/Chicago,2,64054 64055 64056 64057 64050 64052 64053 64015 64016 64051,1840008534
Rochester,Rochester,MN,Minnesota,27109,Olmsted,44.0154,-92.478,121870,836.8,shape,FALSE,TRUE,America/Chicago,2,55902 55903 55901 55906 55904 55905,1840008987
Logan,Logan,UT,Utah,49005,Cache,41.7399,-111.8422,121666,1142.4,shape,FALSE,TRUE,America/Denver,2,84321 84322 84341,1840020108
Harlingen,Harlingen,TX,Texas,48061,Cameron,26.1916,-97.6977,121441,688.2,shape,FALSE,TRUE,America/Chicago,2,78550 78552 78551 78553,1840021036
Berkeley,Berkeley,CA,California,6001,Alameda,37.8722,-122.276,121385,4492.7,shape,FALSE,TRUE,America/Los_Angeles,2,94708 94707 94705 94704 94703 94702 94709 94710 94720 94701 94712,1840018914
Clovis,Clovis,CA,California,6019,Fresno,36.8278,-119.683,120607,1801.3,shape,FALSE,TRUE,America/Los_Angeles,2,93611 93612 93619 93613 93747,1840018944
Round Rock,Round Rock,TX,Texas,48491,Williamson,30.527,-97.6642,120465,1231.6,shape,FALSE,TRUE,America/Chicago,2,78681 78664 78665 78682 78683,1840020879
Pueblo,Pueblo,CO,Colorado,8101,Pueblo,38.2701,-104.6114,120380,765.4,shape,FALSE,TRUE,America/Denver,2,81004 81005 81003 81001 81008 81002 81010 81011 81012,1840020255
Temple,Temple,TX,Texas,48027,Bell,31.1068,-97.3891,120240,447,shape,FALSE,TRUE,America/Chicago,2,76501 76502 76504 76508 76533,1840022154
Meridian,Meridian,ID,Idaho,16001,Ada,43.6116,-116.3977,119872,1271.9,shape,FALSE,TRUE,America/Boise,2,83646 83642 83680,1840020046
Duluth,Duluth,MN,Minnesota,27137,St. Louis,46.7756,-92.1393,118574,467.5,shape,FALSE,TRUE,America/Chicago,2,55803 55802 55807 55806 55805 55804 55808 55810 55811 55812 55815 55816,1840007685
The Woodlands,The Woodlands,TX,Texas,48339,Montgomery,30.1738,-95.5134,118402,1056.4,shape,FALSE,FALSE,America/Chicago,2,77381 77384 77380 77382 77389 77393,1840019585
Boulder,Boulder,CO,Colorado,8013,Boulder,40.0248,-105.2524,118090,1534.8,shape,FALSE,TRUE,America/Denver,2,80310 80304 80305 80302 80303 80301 80307 80309 80314,1840018774
Richardson,Richardson,TX,Texas,48113,Dallas,32.9716,-96.7093,118063,1595.7,shape,FALSE,TRUE,America/Chicago,2,75081 75080 75082 75045 75083 75085,1840020710
Cambridge,Cambridge,MA,Massachusetts,25017,Middlesex,42.3759,-71.1185,117962,7119.9,shape,FALSE,TRUE,America/New_York,2,02142 02140 02141 02139 02138 02238 02477,1840000429
West Palm Beach,West Palm Beach,FL,Florida,12099,Palm Beach,26.7469,-80.132,117588,842.8,shape,FALSE,TRUE,America/New_York,2,33411 33412 33417 33409 33407 33405 33401 33402 33422,1840015993
Port Arthur,Port Arthur,TX,Texas,48245,Jefferson,29.8554,-93.9264,117348,285.7,shape,FALSE,TRUE,America/Chicago,2,77655 77640 77642 77641 77643,1840020919
East Los Angeles,East Los Angeles,CA,California,6037,Los Angeles,34.0326,-118.1691,117222,6072.6,shape,FALSE,FALSE,America/Los_Angeles,2,90063 90022 90023,1840019206
Redding,Redding,CA,California,6089,Shasta,40.5698,-122.365,117163,605.9,shape,FALSE,TRUE,America/Los_Angeles,2,96002 96003 96001,1840020141
Clearwater,Clearwater,FL,Florida,12103,Pinellas,27.979,-82.7623,116984,1727.4,shape,FALSE,TRUE,America/New_York,2,33759 33755 33756 33763 33761 33767 33764 33765 33757 33758 33766 33769,1840015110
Monroe,Monroe,LA,Louisiana,22073,Ouachita,32.5185,-92.0774,116927,620.2,shape,FALSE,TRUE,America/Chicago,2,71212 71209 71203 71202 71201 71207 71210 71213 71217,1840014881
Utica,Utica,NY,New York,36065,Oneida,43.0962,-75.2261,116766,1494.5,shape,FALSE,TRUE,America/New_York,2,13501 13502 13503 13504 13505 13599,1840002746
St. Cloud,St. Cloud,MN,Minnesota,27145,Stearns,45.534,-94.1718,116649,662.4,shape,FALSE,TRUE,America/Chicago,2,56304 56301 56303 56302 56372 56393 56395 56396,1840008881
Mandeville,Mandeville,LA,Louisiana,22103,St. Tammany,30.3751,-90.0904,116649,665,shape,FALSE,TRUE,America/Chicago,2,70448 70471 70470,1840015909
West Jordan,West Jordan,UT,Utah,49035,Salt Lake,40.6024,-112.0008,116383,1390.4,shape,FALSE,TRUE,America/Denver,2,84088 84081 84084,1840021388
North Charleston,North Charleston,SC,South Carolina,45019,Charleston,32.9067,-80.0722,115755,575.7,shape,FALSE,TRUE,America/New_York,2,29420 29456 29485 29404 29405 29406 29418 29416 29419 29423,1840015164
Richmond,Richmond,CA,California,6013,Contra Costa,37.9477,-122.3389,115619,1485.9,shape,FALSE,TRUE,America/Los_Angeles,2,94530 94801 94803 94804 94805 94806 94802 94807 94808 94850,1840020277
Westminster,Westminster,CO,Colorado,8001,Adams,39.8837,-105.0624,115502,1411.9,shape,FALSE,TRUE,America/Denver,2,80030 80031 80234 80005 80003 80021 80020 80035,1840021423
Saginaw,Saginaw,MI,Michigan,26145,Saginaw,43.4199,-83.9501,115442,1000.9,shape,FALSE,TRUE,America/Detroit,2,48602 48607 48601 48606 48663,1840002813
Kailua,Kailua,HI,Hawaii,15003,Honolulu,21.392,-157.7396,115264,2003.2,shape,FALSE,FALSE,Pacific/Honolulu,2,96734,1840023244
Brandon,Brandon,FL,Florida,12057,Hillsborough,27.9367,-82.3,114923,1339.2,shape,FALSE,FALSE,America/New_York,2,33510 33594 33619 33511 33584 33508 33509 33595,1840014151
Ponce,Ponce,PR,Puerto Rico,72113,Ponce,18.0127,-66.6212,114901,1509.8,shape,FALSE,FALSE,America/Puerto_Rico,2,00728 00717 00716 00730 00732 00733 00734,1630023669
Carlsbad,Carlsbad,CA,California,6073,San Diego,33.1246,-117.2834,114745,1171.7,shape,FALSE,TRUE,America/Los_Angeles,2,92008 92009 92011 92010 92013 92018,1840019352
Lowell,Lowell,MA,Massachusetts,25017,Middlesex,42.6389,-71.3217,114737,3254.9,shape,FALSE,TRUE,America/New_York,2,01851 01850 01852 01854 01853,1840000426
Broken Arrow,Broken Arrow,OK,Oklahoma,40143,Tulsa,36.038,-95.7806,114237,700.6,shape,FALSE,TRUE,America/Chicago,2,74014 74011 74012 74013,1840019059
Elgin,Elgin,IL,Illinois,17089,Kane,42.0383,-88.324,114190,1159.4,shape,FALSE,TRUE,America/Chicago,2,60120 60123 60124 60121 60122,1840008134
Gresham,Gresham,OR,Oregon,41051,Multnomah,45.5021,-122.4413,113525,1863.7,shape,FALSE,TRUE,America/Los_Angeles,2,97030 97233 97230 97080,1840019939
League City,League City,TX,Texas,48167,Galveston,29.4874,-95.1087,113469,853,shape,FALSE,TRUE,America/Chicago,2,77573 77598 77511 77539 77565 77574 77592,1840020973
Downey,Downey,CA,California,6037,Los Angeles,33.9379,-118.1311,113052,3517.5,shape,FALSE,TRUE,America/Los_Angeles,2,90242 90240 90241 90239,1840019245
Waterloo,Waterloo,IA,Iowa,19013,Black Hawk,42.4918,-92.3522,112333,421.6,shape,FALSE,TRUE,America/Chicago,2,50707 50703 50702 50701,1840000440
Murrieta,Murrieta,CA,California,6065,Riverside,33.5719,-117.1909,111899,1288.3,shape,FALSE,TRUE,America/Los_Angeles,2,92563 92562,1840020553
Leominster,Leominster,MA,Massachusetts,25027,Worcester,42.5209,-71.7717,111856,584.3,shape,FALSE,TRUE,America/New_York,2,1453,1840000437
Longview,Longview,TX,Texas,48183,Gregg,32.5193,-94.7622,111855,568.3,shape,FALSE,TRUE,America/Chicago,2,75602 75601 75605 75604 75606 75608 75615 75660,1840020746
Jacksonville,Jacksonville,NC,North Carolina,37133,Onslow,34.7289,-77.3941,111830,568.9,shape,FALSE,TRUE,America/New_York,2,28546 28547 28544 28542 28540 28543 28541 28545,1840014653
Pompano Beach,Pompano Beach,FL,Florida,12011,Broward,26.2428,-80.1312,111790,1793.5,shape,FALSE,TRUE,America/New_York,2,33069 33060 33062 33064 33061 33072 33074 33097,1840015143
Bend,Bend,OR,Oregon,41017,Deschutes,44.0563,-121.3095,111774,1108.2,shape,FALSE,TRUE,America/Los_Angeles,2,97702 97703 97701 97708,1840018618
Miami Gardens,Miami Gardens,FL,Florida,12086,Miami-Dade,25.9433,-80.2426,111618,2332.6,shape,FALSE,TRUE,America/New_York,2,33014 33169 33055 33056 33054 33269,1840015151
Costa Mesa,Costa Mesa,CA,California,6059,Orange,33.6667,-117.9135,111490,2723.5,shape,FALSE,TRUE,America/Los_Angeles,2,92626 92627 92628,1840019326
Sioux City,Sioux City,IA,Iowa,19193,Woodbury,42.4959,-96.3901,111361,564.5,shape,FALSE,TRUE,America/Chicago,2,51106 51104 51105 51103 51101 51108 51109 51111,1840000447
Everett,Everett,WA,Washington,53061,Snohomish,47.9525,-122.1669,110847,1273.7,shape,FALSE,TRUE,America/Los_Angeles,2,98207 98204 98203 98201 98208 98206 98213,1840019785
Gilroy,Gilroy,CA,California,6085,Santa Clara,37.0046,-121.5854,110720,1370.5,shape,FALSE,TRUE,America/Los_Angeles,2,95020,1840020327
San Buenaventura,San Buenaventura,CA,California,6111,Ventura,34.2741,-119.2314,110358,1948,shape,FALSE,TRUE,America/Los_Angeles,2,93004 93001 93003 93002 93005 93006 93007 93009,1840037414
Temecula,Temecula,CA,California,6065,Riverside,33.4928,-117.1315,110114,1143.6,shape,FALSE,TRUE,America/Los_Angeles,2,92590 92591 92592 92589 92593,1840021937
Sugar Land,Sugar Land,TX,Texas,48157,Fort Bend,29.5935,-95.6358,110077,1050.2,shape,FALSE,TRUE,America/Chicago,2,77498 77478 77479 77487 77496,1840022217
Chico,Chico,CA,California,6007,Butte,39.7578,-121.8161,110001,1152,shape,FALSE,TRUE,America/Los_Angeles,2,95973 95926 95928 95929 95927 95976,1840018778
Eau Claire,Eau Claire,WI,Wisconsin,55035,Eau Claire,44.8197,-91.4948,109491,804.6,shape,FALSE,TRUE,America/Chicago,2,54703 54701 54702,1840002296
El Monte,El Monte,CA,California,6037,Los Angeles,34.0739,-118.0291,108682,4390.7,shape,FALSE,TRUE,America/Los_Angeles,2,91731 91733 91732 91734 91735,1840020480
Idaho Falls,Idaho Falls,ID,Idaho,16019,Bonneville,43.4871,-112.0362,108544,971.5,shape,FALSE,TRUE,America/Boise,2,83401 83402 83404 83415,1840018644
Dearborn,Dearborn,MI,Michigan,26163,Wayne,42.3127,-83.213,108414,1726.4,shape,FALSE,TRUE,America/Detroit,2,48128 48120 48126 48124 48121 48123,1840003969
Bloomington,Bloomington,IN,Indiana,18105,Monroe,39.1637,-86.5257,108387,1312,shape,FALSE,TRUE,America/Indiana/Indianapolis,2,47405 47408 47401 47403 47404 47406 47407,1840007376
West Covina,West Covina,CA,California,6037,Los Angeles,34.0555,-117.9113,108173,2604.4,shape,FALSE,TRUE,America/Los_Angeles,2,91792 91791 91790 91793,1840021876
Sparks,Sparks,NV,Nevada,32031,Washoe,39.5736,-119.7161,108025,1143,shape,FALSE,TRUE,America/Los_Angeles,2,89436 89434 89431 89432 89435,1840021337
South Fulton,South Fulton,GA,Georgia,13121,Fulton,33.6273,-84.58,107865,447.9,shape,FALSE,TRUE,America/New_York,2,30336 30331 30272 30349 30291 30296 30213 30378 31131 31136,1840029465
Centennial,Centennial,CO,Colorado,8005,Arapahoe,39.5926,-104.8673,107702,1398.1,shape,FALSE,TRUE,America/Denver,2,80122 80121 80016 80015 80112 80111 80155 80161,1840018792
Sandy Springs,Sandy Springs,GA,Georgia,13121,Fulton,33.9366,-84.3703,107221,1099.3,shape,FALSE,TRUE,America/New_York,2,30350 30327 30328 30342 30358 31150 31156,1840015609
Inglewood,Inglewood,CA,California,6037,Los Angeles,33.9566,-118.3444,106806,4547.9,shape,FALSE,TRUE,America/Los_Angeles,2,90305 90304 90303 90302 90301 90306 90307 90308 90309 90311 90312,1840019237
Hillsboro,Hillsboro,OR,Oregon,41067,Washington,45.5273,-122.936,106612,1592.8,shape,FALSE,TRUE,America/Los_Angeles,2,97006 97123 97124 97129,1840019932
Columbia,Columbia,MD,Maryland,24027,Howard,39.2004,-76.859,106600,1288.9,shape,FALSE,FALSE,America/New_York,2,21044 21045 21046 21029 20588 21150,1840005803
Burbank,Burbank,CA,California,6037,Los Angeles,34.1879,-118.3235,106389,2372.2,shape,FALSE,TRUE,America/Los_Angeles,2,91506 91504 91505 91502 91501 91503 91507 91508 91510 91521 91522 91523 91526,1840019233
Davie,Davie,FL,Florida,12011,Broward,26.0789,-80.287,105821,1170.9,shape,FALSE,TRUE,America/New_York,2,33324 33325 33331 33330 33328 33314 33355,1840017272
El Cajon,El Cajon,CA,California,6073,San Diego,32.8017,-116.9604,105721,2813.3,shape,FALSE,TRUE,America/Los_Angeles,2,92020 92021 92019,1840020618
Jurupa Valley,Jurupa Valley,CA,California,6065,Riverside,34.001,-117.4706,105672,950.2,shape,FALSE,TRUE,America/Los_Angeles,2,92509 91752 92519,1840043419
Allen,Allen,TX,Texas,48085,Collin,33.1088,-96.6735,105444,1542.1,shape,FALSE,TRUE,America/Chicago,2,75002 75013,1840019396
Auburn,Auburn,AL,Alabama,1081,Lee,32.6087,-85.4903,105386,476.6,shape,FALSE,TRUE,America/Chicago,2,36849 36832 36830 36831,1840013810
Renton,Renton,WA,Washington,53033,King,47.4784,-122.1918,105355,1728,shape,FALSE,TRUE,America/Los_Angeles,2,98059 98058 98057 98056 98055,1840019827
Holland,Holland,MI,Michigan,26139,Ottawa,42.7677,-86.0984,105134,791.2,shape,FALSE,TRUE,America/Detroit,2,49423 49422,1840002996
Brockton,Brockton,MA,Massachusetts,25023,Plymouth,42.0821,-71.0242,104713,1895.2,shape,FALSE,TRUE,America/New_York,2,02301 02302 02303 02304 02305,1840000467
Rio Rancho,Rio Rancho,NM,New Mexico,35043,Sandoval,35.2873,-106.6982,104351,389.8,shape,FALSE,TRUE,America/Denver,2,87121 87124 87144 87174,1840020387
San Mateo,San Mateo,CA,California,6081,San Mateo,37.5522,-122.3121,104165,3314.5,shape,FALSE,TRUE,America/Los_Angeles,2,94404 94401 94402 94403 94497,1840021551
Rialto,Rialto,CA,California,6071,San Bernardino,34.1175,-117.3892,103873,1664.7,shape,FALSE,TRUE,America/Los_Angeles,2,92316 92376 92377,1840020407
Spokane Valley,Spokane Valley,WA,Washington,53063,Spokane,47.6626,-117.2346,103761,1062.1,shape,FALSE,TRUE,America/Los_Angeles,2,99206 99016 99212 99216 99037 99211 99213 99215,1840021094
Charlottesville,Charlottesville,VA,Virginia,51540,Charlottesville,38.0375,-78.4855,103760,1744.5,shape,FALSE,TRUE,America/New_York,2,22908 22901 22902 22903 22904 22905 22906 22909,1840001678
Menifee,Menifee,CA,California,6065,Riverside,33.6909,-117.1849,103680,861.6,shape,FALSE,TRUE,America/Los_Angeles,2,92587 92586 92585 92584 92564,1840022903
Daly City,Daly City,CA,California,6081,San Mateo,37.6862,-122.4685,103648,5239.1,shape,FALSE,TRUE,America/Los_Angeles,2,94015 94014 94016 94017,1840018926
Wichita Falls,Wichita Falls,TX,Texas,48485,Wichita,33.9072,-98.5291,102482,547.5,shape,FALSE,TRUE,America/Chicago,2,76309 76308 76310 76311 76306 76305 76302 76301 76307,1840021923
Riverview,Riverview,FL,Florida,12057,Hillsborough,27.8227,-82.3023,102467,856.7,shape,FALSE,FALSE,America/New_York,2,33579 33578 33569 33568,1840014158
Norwalk,Norwalk,CA,California,6037,Los Angeles,33.9069,-118.0829,101893,4052.7,shape,FALSE,TRUE,America/Los_Angeles,2,90650 90651 90652,1840020501
Lee's Summit,Lee's Summit,MO,Missouri,29095,Jackson,38.9171,-94.3816,101728,614.7,shape,FALSE,TRUE,America/Chicago,2,64086 64082 64064 64063 64081 64002,1840032155
Longmont,Longmont,CO,Colorado,8013,Boulder,40.1686,-105.1005,101642,1316.7,shape,FALSE,TRUE,America/Denver,2,80501 80503 80504,1840020178
Vacaville,Vacaville,CA,California,6095,Solano,38.3587,-121.9673,101631,1313.7,shape,FALSE,TRUE,America/Los_Angeles,2,95687 95688,1840021498
Highlands Ranch,Highlands Ranch,CO,Colorado,8035,Douglas,39.5419,-104.9708,101514,1615,shape,FALSE,FALSE,America/Denver,2,80129 80126 80130 80163,1840028579
Kingsport,Kingsport,TN,Tennessee,47163,Sullivan,36.5224,-82.5454,101323,406.7,shape,FALSE,TRUE,America/New_York,2,37660 37664 37663 37665 37662 37669,1840014425
San Tan Valley,San Tan Valley,AZ,Arizona,4021,Pinal,33.1786,-111.5629,101207,515.6,shape,FALSE,FALSE,America/Phoenix,2,85143 85142 85140 85144,1840027990
Quincy,Quincy,MA,Massachusetts,25021,Norfolk,42.2506,-71.0187,100981,2352.6,shape,FALSE,TRUE,America/New_York,2,02169 02171 02170 02269,1840000461
Edinburg,Edinburg,TX,Texas,48215,Hidalgo,26.3196,-98.1597,100964,871.6,shape,FALSE,TRUE,America/Chicago,2,78539 78542 78541,1840021020
Lynn,Lynn,MA,Massachusetts,25009,Essex,42.4781,-70.9664,100653,3618.8,shape,FALSE,TRUE,America/New_York,2,01905 01904 01902 01901 01903 01910,1840000409
San Angelo,San Angelo,TX,Texas,48451,Tom Green,31.4424,-100.4504,100057,640,shape,FALSE,TRUE,America/Chicago,2,76905 76904 76901 76903 76909 76908 76886 76906,1840022146
Hesperia,Hesperia,CA,California,6071,San Bernardino,34.3975,-117.3147,99878,530.6,shape,FALSE,TRUE,America/Los_Angeles,3,92345 92344 92340,1840020404
Bowling Green,Bowling Green,KY,Kentucky,21227,Warren,36.9716,-86.4378,99669,681.7,shape,FALSE,TRUE,America/Chicago,3,42104 42103 42101 42102,1840013265
Federal Way,Federal Way,WA,Washington,53033,King,47.3091,-122.3358,99614,1722.5,shape,FALSE,TRUE,America/Los_Angeles,3,98023 98003 98063 98093,1840019826
Carmel,Carmel,IN,Indiana,18057,Hamilton,39.965,-86.146,99453,782.3,shape,FALSE,TRUE,America/Indiana/Indianapolis,3,46290 46032 46033 46280 46074 46082,1840007260
Bismarck,Bismarck,ND,North Dakota,38015,Burleigh,46.8143,-100.7694,99433,820.3,shape,FALSE,TRUE,America/Chicago,2,58505 58504 58501 58503 58507,1840001926
Fishers,Fishers,IN,Indiana,18057,Hamilton,39.9588,-85.9659,99041,1063,shape,FALSE,TRUE,America/Indiana/Indianapolis,3,46038 46040 46256 46037 46085,1840010496
Lafayette,Lafayette,CO,Colorado,8013,Boulder,39.9946,-105.0998,98889,1268.3,shape,FALSE,TRUE,America/Denver,3,80026,1840020180
Vista,Vista,CA,California,6073,San Diego,33.1896,-117.2386,98392,2026.6,shape,FALSE,TRUE,America/Los_Angeles,2,92084 92083 92081 92085,1840021994
Boca Raton,Boca Raton,FL,Florida,12099,Palm Beach,26.3752,-80.108,97980,1296.5,shape,FALSE,TRUE,America/New_York,3,33496 33487 33486 33434 33432 33433 33431 33427 33429 33481 33499,1840014207
St. Augustine,St. Augustine,FL,Florida,12109,St. Johns,29.8976,-81.31,97703,593.7,shape,FALSE,TRUE,America/New_York,3,32080 32095 32084,1840015935
Beaverton,Beaverton,OR,Oregon,41067,Washington,45.4779,-122.8168,97554,1920.3,shape,FALSE,TRUE,America/Los_Angeles,3,97225 97003 97005 97007 97006 97008 97075 97076 97077 97079,1840018556
Goodyear,Goodyear,AZ,Arizona,4013,Maricopa,33.2614,-112.3622,97542,196.9,shape,FALSE,TRUE,America/Phoenix,3,85139 85338 85326 85395,1840020564
Portsmouth,Portsmouth,VA,Virginia,51740,Portsmouth,36.8468,-76.354,97384,1129.1,shape,FALSE,TRUE,America/New_York,3,23709 23708 23704 23707 23701 23703 23702 23705,1840003872
Orem,Orem,UT,Utah,49049,Utah,40.2981,-111.6994,97100,2013.8,shape,FALSE,TRUE,America/Denver,2,84097 84057 84058 84059,1840020171
Sunrise,Sunrise,FL,Florida,12011,Broward,26.1547,-80.2997,96510,2300.4,shape,FALSE,TRUE,America/New_York,2,33322 33323 33326 33325 33351 33313 33307 33345,1840016000
Portsmouth,Portsmouth,NH,New Hampshire,33015,Rockingham,43.058,-70.7826,96146,545.8,shape,FALSE,TRUE,America/New_York,3,03801 03802 03803 03804,1840002932
Arden-Arcade,Arden-Arcade,CA,California,6067,Sacramento,38.6017,-121.3845,96076,2333.7,shape,FALSE,TRUE,America/Los_Angeles,2,95864 95821 95825 95860 95865 95866,1840036690
Lawrence,Lawrence,KS,Kansas,20045,Douglas,38.9597,-95.2642,96061,1075.1,shape,FALSE,TRUE,America/Chicago,3,66045 66044 66047 66046 66049,1840001632
Sandy,Sandy,UT,Utah,49035,Salt Lake,40.5709,-111.8506,95635,1525.5,shape,FALSE,TRUE,America/Denver,3,84092 84094 84093 84070 84090 84091,1840037422
Slidell,Slidell,LA,Louisiana,22103,St. Tammany,30.2887,-89.7828,95528,736.5,shape,FALSE,TRUE,America/Chicago,3,70460 70458 70459 70469,1840015911
Buckeye,Buckeye,AZ,Arizona,4013,Maricopa,33.4314,-112.6429,95042,93.3,shape,FALSE,TRUE,America/Phoenix,3,85326 85340 85396,1840021939
Livonia,Livonia,MI,Michigan,26163,Wayne,42.3972,-83.3733,94928,1026.8,shape,FALSE,TRUE,America/Detroit,3,48152 48150 48154 48151 48153,1840003985
Williamsburg,Williamsburg,VA,Virginia,51830,Williamsburg,37.2693,-76.7076,94892,668.9,shape,FALSE,TRUE,America/New_York,3,23185 23188 23187,1840001720
Suffolk,Suffolk,VA,Virginia,51800,Suffolk,36.6953,-76.6398,94856,91.8,shape,FALSE,TRUE,America/New_York,3,23433 23432 23437 23436 23435 23434 23438 23439,1840003873
Compton,Compton,CA,California,6037,Los Angeles,33.893,-118.2274,94822,3651,shape,FALSE,TRUE,America/Los_Angeles,2,90220 90221 90222 90223,1840019240
La Crosse,La Crosse,WI,Wisconsin,55063,La Crosse,43.8241,-91.2268,94627,925.7,shape,FALSE,TRUE,America/Chicago,3,54603 54601 54602,1840002577
Edmond,Edmond,OK,Oklahoma,40109,Oklahoma,35.6689,-97.416,94503,432.1,shape,FALSE,TRUE,America/Chicago,3,73013 73007 73003 73034,1840020423
Carson,Carson,CA,California,6037,Los Angeles,33.8374,-118.2559,94475,1947.4,shape,FALSE,TRUE,America/Los_Angeles,3,90248 90810 90747 90746 90745 90224 90749 90895,1840019214
San Marcos,San Marcos,CA,California,6073,San Diego,33.135,-117.1743,94360,1483.1,shape,FALSE,TRUE,America/Los_Angeles,3,92078 92096 92069 92079,1840021991
Tracy,Tracy,CA,California,6077,San Joaquin,37.7269,-121.4523,94027,1386.3,shape,FALSE,TRUE,America/Los_Angeles,3,95377 95376 95304,1840021518
Prescott Valley,Prescott Valley,AZ,Arizona,4025,Yavapai,34.598,-112.3185,93923,448.6,shape,FALSE,TRUE,America/Phoenix,3,86327 86315 86314 86312,1840021772
Middletown,Middletown,OH,Ohio,39017,Butler,39.5033,-84.3659,93870,746.1,shape,FALSE,TRUE,America/New_York,3,45044 45005 45042,1840003804
Fall River,Fall River,MA,Massachusetts,25005,Bristol,41.7136,-71.1015,93638,1091.5,shape,FALSE,TRUE,America/New_York,3,02724 02723 02720 02721 02717 02790 02747 02722,1840000497
San Germán,San German,PR,Puerto Rico,72125,San Germán,18.0827,-67.046,93549,1384.7,shape,FALSE,FALSE,America/Puerto_Rico,3,683,1630023526
Santa Fe,Santa Fe,NM,New Mexico,35049,Santa Fe,35.6619,-105.9819,93165,647.7,shape,FALSE,TRUE,America/Denver,2,87505 87507 87501 87502 87503 87509,1840021707
Plantation,Plantation,FL,Florida,12011,Broward,26.1259,-80.2617,93130,1653.2,shape,FALSE,TRUE,America/New_York,3,33322 33323 33324 33325 33317 33313 33388 33318 33329 33337,1840015142
Mayagüez,Mayaguez,PR,Puerto Rico,72097,Mayagüez,18.2003,-67.1397,93079,1105.2,shape,FALSE,FALSE,America/Puerto_Rico,3,00682 00680 00681,1630035520
New Braunfels,New Braunfels,TX,Texas,48091,Comal,29.6994,-98.1148,92993,797.3,shape,FALSE,TRUE,America/Chicago,3,78132 78130 78131 78135,1840021341
Roswell,Roswell,GA,Georgia,13121,Fulton,34.0391,-84.3513,92770,879.5,shape,FALSE,TRUE,America/New_York,3,30075 30076 30077,1840014741
Conroe,Conroe,TX,Texas,48339,Montgomery,30.3238,-95.4824,92475,482.5,shape,FALSE,TRUE,America/Chicago,3,77384 77301 77303 77304 77305,1840019586
South Gate,South Gate,CA,California,6037,Los Angeles,33.9447,-118.1926,92381,4928.5,shape,FALSE,TRUE,America/Los_Angeles,2,90280,1840021870
